,Before Correlation,,,,,,,,After Correlation,,,,,,,,After Elastic Treatment Multiclass,,,,,,,,,After Elastic Treatment Binary,,,,,,,,,,After Elastic Recurrence,,,,,,,,
,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,,,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,,,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,alpha,l1Ratio,,,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,alpha,l1Ratio,,,nCNV,nSNV,nMETH,nMRNA,nMIRNA,nRPPA,alpha,l1Ratio
cnv,19729,0,0,0,0,0,,cnv,216,0,0,0,0,0,,cnv,24,0,0,0,0,0,0.01,0.9,,cnv,17,0,0,0,0,0,0.01,0.5,, cnv,17,0,0,0,0,0,0.01,0.5
snv,0,128755,0,0,0,0,,snv,0,691,0,0,0,0,,snv,0,36,0,0,0,0,0.01,0.9,,snv,0,2,0,0,0,0,0.01,0.9,, snv,0,5,0,0,0,0,0.01,0.7
meth,0,0,2404,0,0,0,,meth,0,0,1445,0,0,0,,meth,0,0,621,0,0,0,0.01,0.1,,meth,0,0,77,0,0,0,0.01,0.5,, meth,0,0,45,0,0,0,0.01,0.7
mRNA,0,0,0,1508,0,0,,mRNA,0,0,0,945,0,0,,mRNA,0,0,0,158,0,0,0.01,0.5,,mRNA,0,0,0,56,0,0,0.01,0.5,, mRNA,0,0,0,247,0,0,0.01,0.1
miRNA,0,0,0,0,27,0,,miRNA,0,0,0,0,24,0,,miRNA,0,0,0,0,24,0,0.01,0.1,,miRNA,0,0,0,0,22,0,0.01,0.1,, miRNA,0,0,0,0,21,0,0.01,0.1
rppa,0,0,0,0,0,456,,rppa,0,0,0,0,0,369,,rppa,0,0,0,0,0,267,0.01,0.1,,rppa,0,0,0,0,0,31,0.01,0.5,, rppa,0,0,0,0,0,19,0.01,0.5
cnv_snv,19729,128755,0,0,0,0,,cnv_snv,197,691,0,0,0,0,,cnv_snv,22,51,0,0,0,0,0.01,0.7,,cnv_snv,6,1,0,0,0,0,0.01,0.9,, cnv_snv,6,4,0,0,0,0,0.01,0.7
cnv_meth,19729,0,2404,0,0,0,,cnv_meth,216,0,1445,0,0,0,,cnv_meth,63,0,602,0,0,0,0.01,0.1,,cnv_meth,5,0,66,0,0,0,0.01,0.5,, cnv_meth,3,0,71,0,0,0,0.01,0.5
cnv_mRNA,19729,0,0,1508,0,0,,cnv_mRNA,208,0,0,945,0,0,,cnv_mRNA,107,0,0,483,0,0,0.01,0.1,,cnv_mRNA,10,0,0,50,0,0,0.01,0.5,, cnv_mRNA,71,0,0,218,0,0,0.01,0.1
cnv_miRNA,19729,0,0,0,27,0,,cnv_miRNA,216,0,0,0,24,0,,cnv_miRNA,18,0,0,0,8,0,0.01,0.9,,cnv_miRNA,125,0,0,0,21,0,0.01,0.1,, cnv_miRNA,107,0,0,0,21,0,0.01,0.1
cnv_rppa,19729,0,0,0,0,456,,cnv_rppa,216,0,0,0,0,369,,cnv_rppa,140,0,0,0,0,255,0.01,0.1,,cnv_rppa,13,0,0,0,0,30,0.01,0.5,, cnv_rppa,13,0,0,0,0,16,0.01,0.5
snv_meth,0,128755,2404,0,0,0,,snv_meth,0,674,1445,0,0,0,,snv_meth,0,176,561,0,0,0,0.01,0.1,,snv_meth,0,4,72,0,0,0,0.01,0.5,, snv_meth,0,5,68,0,0,0,0.01,0.5
snv_mRNA,0,128755,0,1508,0,0,,snv_mRNA,0,559,0,945,0,0,,snv_mRNA,0,250,0,454,0,0,0.01,0.1,,snv_mRNA,0,10,0,54,0,0,0.01,0.5,, snv_mRNA,0,176,0,183,0,0,0.01,0.1
snv_miRNA,0,128755,0,0,27,0,,snv_miRNA,0,688,0,0,24,0,,snv_miRNA,0,57,0,0,9,0,0.01,0.7,,snv_miRNA,0,2,0,0,3,0,0.01,0.9,, snv_miRNA,0,12,0,0,3,0,0.01,0.5
snv_rppa,0,128755,0,0,0,456,,snv_rppa,0,690,0,0,0,369,,snv_rppa,0,19,0,0,0,31,0.01,0.9,,snv_rppa,0,2,0,0,0,12,0.01,0.9,, snv_rppa,0,13,0,0,0,19,0.01,0.5
meth_mRNA,0,0,2404,1508,0,0,,meth_mRNA,0,0,1431,945,0,0,,meth_mRNA,0,0,516,268,0,0,0.01,0.1,,meth_mRNA,0,0,313,174,0,0,0.01,0.1,, meth_mRNA,0,0,338,100,0,0,0.01,0.1
meth_miRNA,0,0,2404,0,27,0,,meth_miRNA,0,0,1445,0,24,0,,meth_miRNA,0,0,589,0,0,128,0.01,0.1,,meth_miRNA,0,0,73,0,0,10,0.01,0.5,, meth_miRNA,0,0,45,0,0,0,0.01,0.7
meth_rppa,0,0,2404,0,0,456,,meth_rppa,0,0,1445,0,0,369,,meth_rppa,0,0,589,0,0,128,0.01,0.1,,meth_rppa,0,0,73,0,0,10,0.01,0.5,, meth_rppa,0,0,45,0,0,0,0.01,0.7
mRNA_miRNA,0,0,0,1508,27,0,,mRNA_miRNA,0,0,0,942,24,0,,mRNA_miRNA,0,0,0,149,6,0,0.01,0.5,,mRNA_miRNA,0,0,0,53,3,0,0.01,0.5,, mRNA_miRNA,0,0,0,242,15,0,0.01,0.1
mRNA_rppa,0,0,0,1508,0,456,,mRNA_rppa,0,0,0,945,0,369,,mRNA_rppa,0,0,0,129,0,49,0.01,0.5,,mRNA_rppa,0,0,0,51,0,15,0.01,0.5,, mRNA_rppa,0,0,0,34,0,15,0.01,0.5
miRNA_rppa,0,0,0,0,27,456,,miRNA_rppa,0,0,0,0,24,369,,miRNA_rppa,0,0,0,0,17,261,0.01,0.1,,miRNA_rppa,0,0,0,0,4,28,0.01,0.5,, miRNA_rppa,0,0,0,0,1,18,0.01,0.5
cnv_snv_meth,19729,128755,2404,0,0,0,,cnv_snv_meth,197,674,1445,0,0,0,,cnv_snv_meth,60,152,549,0,0,0,0.01,0.1,,cnv_snv_meth,5,5,71,0,0,0,0.01,0.5,, cnv_snv_meth,3,5,65,0,0,0,0.01,0.5
cnv_snv_mRNA,19729,128755,0,1508,0,0,,cnv_snv_mRNA,197,559,0,945,0,0,,cnv_snv_mRNA,87,236,0,410,0,0,0.01,0.1,,cnv_snv_mRNA,9,10,0,48,0,0,0.01,0.5,, cnv_snv_mRNA,52,151,0,176,0,0,0.01,0.1
cnv_snv_miRNA,19729,128755,0,0,27,0,,cnv_snv_miRNA,197,688,0,0,24,0,,cnv_snv_miRNA,17,47,0,0,8,0,0.01,0.7,,cnv_snv_miRNA,8,8,0,0,3,0,0.01,0.7,, cnv_snv_miRNA,15,10,0,0,1,0,0.01,0.5
cnv_snv_rppa,19729,128755,0,0,0,456,,cnv_snv_rppa,197,690,0,0,0,369,,cnv_snv_rppa,12,19,0,0,0,28,0.01,0.9,,cnv_snv_rppa,4,2,0,0,0,10,0.01,0.9,, cnv_snv_rppa,14,12,0,0,0,19,0.01,0.5
cnv_meth_mRNA,19729,0,2404,1508,0,0,,cnv_meth_mRNA,208,0,1431,945,0,0,,cnv_meth_mRNA,46,0,486,241,0,0,0.01,0.1,,cnv_meth_mRNA,26,0,297,151,0,0,0.01,0.1,, cnv_meth_mRNA,26,0,318,96,0,0,0.01,0.1
cnv_meth_miRNA,19729,0,2404,0,27,0,,cnv_meth_miRNA,216,0,1445,0,24,0,,cnv_meth_miRNA,66,0,593,0,9,0,0.01,0.1,,cnv_meth_miRNA,5,0,68,0,1,0,0.01,0.5,, cnv_meth_miRNA,3,0,71,0,0,0,0.01,0.5
cnv_meth_rppa,19729,0,2404,0,0,456,,cnv_meth_rppa,216,0,1445,0,0,369,,cnv_meth_rppa,66,0,555,0,0,115,0.01,0.1,,cnv_meth_rppa,5,0,67,0,0,8,0.01,0.5,, cnv_meth_rppa,1,0,45,0,0,0,0.01,0.7
cnv_mRNA_miRNA,19729,0,0,1508,27,0,,cnv_mRNA_miRNA,208,0,0,942,24,0,,cnv_mRNA_miRNA,25,0,0,131,7,0,0.01,0.5,,cnv_mRNA_miRNA,10,0,0,51,3,0,0.01,0.5,, cnv_mRNA_miRNA,65,0,0,214,12,0,0.01,0.1
cnv_mRNA_rppa,19729,0,0,1508,0,456,,cnv_mRNA_rppa,208,0,0,945,0,369,,cnv_mRNA_rppa,99,0,0,447,0,183,0.01,0.1,,cnv_mRNA_rppa,9,0,0,48,0,15,0.01,0.5,, cnv_mRNA_rppa,55,0,0,191,0,93,0.01,0.1
cnv_miRNA_rppa,19729,0,0,0,27,456,,cnv_miRNA_rppa,216,0,0,0,24,369,,cnv_miRNA_rppa,139,0,0,0,15,252,0.01,0.1,,cnv_miRNA_rppa,12,0,0,0,3,29,0.01,0.5,, cnv_miRNA_rppa,14,0,0,0,1,16,0.01,0.5
snv_meth_mRNA,0,128755,2404,1508,0,0,,snv_meth_mRNA,0,557,1431,945,0,0,,snv_meth_mRNA,0,113,492,229,0,0,0.01,0.1,,snv_meth_mRNA,0,3,68,17,0,0,0.01,0.5,, snv_meth_mRNA,0,70,297,87,0,0,0.01,0.1
snv_meth_miRNA,0,128755,2404,0,27,0,,snv_meth_miRNA,0,671,1445,0,24,0,,snv_meth_miRNA,0,173,558,0,8,0,0.01,0.1,,snv_meth_miRNA,0,4,71,0,1,0,0.01,0.5,, snv_meth_miRNA,0,5,68,0,0,0,0.01,0.5
snv_meth_rppa,0,128755,2404,0,0,456,,snv_meth_rppa,0,673,1445,0,0,369,,snv_meth_rppa,0,147,533,0,0,114,0.01,0.1,,snv_meth_rppa,0,4,73,0,0,10,0.01,0.5,, snv_meth_rppa,0,1,45,0,0,0,0.01,0.7
snv_mRNA_miRNA,0,128755,0,1508,27,0,,snv_mRNA_miRNA,0,557,0,942,24,0,,snv_mRNA_miRNA,0,38,0,123,7,0,0.01,0.5,,snv_mRNA_miRNA,0,11,0,52,3,0,0.01,0.5,, snv_mRNA_miRNA,0,171,0,182,11,0,0.01,0.1
snv_mRNA_rppa,0,128755,0,1508,0,456,,snv_mRNA_rppa,0,559,0,945,0,369,,snv_mRNA_rppa,0,217,0,416,0,156,0.01,0.1,,snv_mRNA_rppa,0,1,0,20,0,4,0.01,0.9,, snv_mRNA_rppa,0,148,0,162,0,80,0.01,0.1
snv_miRNA_rppa,0,128755,0,0,27,456,,snv_miRNA_rppa,0,687,0,0,24,369,,snv_miRNA_rppa,0,18,0,0,4,32,0.01,0.9,,snv_miRNA_rppa,0,2,0,0,2,12,0.01,0.9,, snv_miRNA_rppa,0,10,0,0,1,17,0.01,0.5
meth_mRNA_miRNA,0,0,2404,1508,27,0,,meth_mRNA_miRNA,0,0,1431,942,24,0,,meth_mRNA_miRNA,0,0,519,270,5,0,0.01,0.1,,meth_mRNA_miRNA,0,0,305,168,2,0,0.01,0.1,, meth_mRNA_miRNA,0,0,330,98,6,0,0.01,0.1
meth_mRNA_rppa,0,0,2404,1508,0,456,,meth_mRNA_rppa,0,0,1431,945,0,369,,meth_mRNA_rppa,0,0,500,232,0,108,0.01,0.1,,meth_mRNA_rppa,0,0,288,145,0,55,0.01,0.1,, meth_mRNA_rppa,0,0,324,100,0,47,0.01,0.1
meth_miRNA_rppa,0,0,2404,0,27,456,,meth_miRNA_rppa,0,0,1445,0,24,369,,meth_miRNA_rppa,0,0,575,0,10,125,0.01,0.1,,meth_miRNA_rppa,0,0,74,0,1,10,0.01,0.5,, meth_miRNA_rppa,0,0,45,0,0,0,0.01,0.7
mRNA_miRNA_rppa,0,0,0,1508,27,456,,mRNA_miRNA_rppa,0,0,0,942,24,369,,mRNA_miRNA_rppa,0,0,0,121,4,45,0.01,0.5,,mRNA_miRNA_rppa,0,0,0,51,3,15,0.01,0.5,, mRNA_miRNA_rppa,0,0,0,33,1,14,0.01,0.5
cnv_snv_meth_mRNA,19729,128755,2404,1508,0,0,,cnv_snv_meth_mRNA,197,557,1431,945,0,0,,cnv_snv_meth_mRNA,48,106,464,209,0,0,0.01,0.1,,cnv_snv_meth_mRNA,4,3,68,16,0,0,0.01,0.5,, cnv_snv_meth_mRNA,24,72,290,81,0,0,0.01,0.1
cnv_snv_meth_miRNA,19729,128755,2404,0,27,0,,cnv_snv_meth_miRNA,197,671,1445,0,24,0,,cnv_snv_meth_miRNA,59,157,536,0,6,0,0.01,0.1,,cnv_snv_meth_miRNA,5,5,70,0,1,0,0.01,0.5,, cnv_snv_meth_miRNA,3,5,65,0,0,0,0.01,0.5
cnv_snv_meth_rppa,19729,128755,2404,0,0,456,,cnv_snv_meth_rppa,197,673,1445,0,0,369,,cnv_snv_meth_rppa,54,133,515,0,0,111,0.01,0.1,,cnv_snv_meth_rppa,5,4,66,0,0,8,0.01,0.5,, cnv_snv_meth_rppa,3,5,65,0,0,2,0.01,0.5
cnv_snv_mRNA_miRNA,19729,128755,0,1508,27,0,,cnv_snv_mRNA_miRNA,197,557,0,942,24,0,,cnv_snv_mRNA_miRNA,86,229,0,400,13,0,0.01,0.1,,cnv_snv_mRNA_miRNA,10,9,0,48,3,0,0.01,0.5,, cnv_snv_mRNA_miRNA,52,152,0,168,10,0,0.01,0.1
cnv_snv_mRNA_rppa,19729,128755,0,1508,0,456,,cnv_snv_mRNA_rppa,197,559,0,945,0,369,,cnv_snv_mRNA_rppa,84,202,0,383,0,155,0.01,0.1,,cnv_snv_mRNA_rppa,4,1,0,21,0,3,0.01,0.9,, cnv_snv_mRNA_rppa,44,128,0,157,0,78,0.01,0.1
cnv_snv_miRNA_rppa,19729,128755,0,0,27,456,,cnv_snv_miRNA_rppa,197,687,0,0,24,369,,cnv_snv_miRNA_rppa,19,35,0,0,4,40,0.01,0.7,,cnv_snv_miRNA_rppa,4,2,0,0,2,11,0.01,0.9,, cnv_snv_miRNA_rppa,14,11,0,0,1,16,0.01,0.5
cnv_meth_mRNA_miRNA,19729,0,2404,1508,27,0,,cnv_meth_mRNA_miRNA,208,0,1431,942,24,0,,cnv_meth_mRNA_miRNA,48,0,493,241,4,0,0.01,0.1,,cnv_meth_mRNA_miRNA,27,0,290,154,2,0,0.01,0.1,, cnv_meth_mRNA_miRNA,25,0,315,94,4,0,0.01,0.1
cnv_meth_mRNA_rppa,19729,0,2404,1508,0,456,,cnv_meth_mRNA_rppa,208,0,1431,945,0,369,,cnv_meth_mRNA_rppa,48,0,471,233,0,95,0.01,0.1,,cnv_meth_mRNA_rppa,25,0,275,136,0,51,0.01,0.1,, cnv_meth_mRNA_rppa,21,0,308,92,0,42,0.01,0.1
cnv_meth_miRNA_rppa,19729,0,2404,0,27,456,,cnv_meth_miRNA_rppa,216,0,1445,0,24,369,,cnv_meth_miRNA_rppa,64,0,549,0,9,120,0.01,0.1,,cnv_meth_miRNA_rppa,5,0,67,0,1,8,0.01,0.5,, cnv_meth_miRNA_rppa,1,0,45,0,0,0,0.01,0.7
cnv_mRNA_miRNA_rppa,19729,0,0,1508,27,456,,cnv_mRNA_miRNA_rppa,208,0,0,942,24,369,,cnv_mRNA_miRNA_rppa,95,0,0,442,14,180,0.01,0.1,,cnv_mRNA_miRNA_rppa,9,0,0,45,3,15,0.01,0.5,, cnv_mRNA_miRNA_rppa,56,0,0,186,11,96,0.01,0.1
snv_meth_mRNA_miRNA,0,128755,2404,1508,27,0,,snv_meth_mRNA_miRNA,0,555,1431,942,24,0,,snv_meth_mRNA_miRNA,0,117,495,223,6,0,0.01,0.1,,snv_meth_mRNA_miRNA,0,3,67,17,1,0,0.01,0.5,, snv_meth_mRNA_miRNA,0,69,294,89,6,0,0.01,0.1
snv_meth_mRNA_rppa,0,128755,2404,1508,0,456,,snv_meth_mRNA_rppa,0,557,1431,945,0,369,,snv_meth_mRNA_rppa,0,103,473,207,0,95,0.01,0.1,,snv_meth_mRNA_rppa,0,61,268,131,0,51,0.01,0.1,, snv_meth_mRNA_rppa,0,69,283,85,0,43,0.01,0.1
snv_meth_miRNA_rppa,0,128755,2404,0,27,456,,snv_meth_miRNA_rppa,0,670,1445,0,24,369,,snv_meth_miRNA_rppa,0,141,532,0,8,112,0.01,0.1,,snv_meth_miRNA_rppa,0,4,74,0,1,10,0.01,0.5,, snv_meth_miRNA_rppa,0,1,45,0,0,0,0.01,0.7
snv_mRNA_miRNA_rppa,0,128755,0,1508,27,456,,snv_mRNA_miRNA_rppa,0,557,0,942,24,369,,snv_mRNA_miRNA_rppa,0,34,0,108,4,42,0.01,0.5,,snv_mRNA_miRNA_rppa,0,1,0,20,1,4,0.01,0.9,, snv_mRNA_miRNA_rppa,0,145,0,164,11,83,0.01,0.1
meth_mRNA_miRNA_rppa,0,0,2404,1508,27,456,,meth_mRNA_miRNA_rppa,0,0,1431,942,24,369,,meth_mRNA_miRNA_rppa,0,0,500,232,5,105,0.01,0.1,,meth_mRNA_miRNA_rppa,0,0,282,143,2,54,0.01,0.1,, meth_mRNA_miRNA_rppa,0,0,322,97,3,47,0.01,0.1
cnv_snv_meth_mRNA_miRNA,19729,128755,2404,1508,27,0,,cnv_snv_meth_mRNA_miRNA,197,555,1431,942,24,0,,cnv_snv_meth_mRNA_miRNA,46,109,465,207,5,0,0.01,0.1,,cnv_snv_meth_mRNA_miRNA,4,3,68,15,1,0,0.01,0.5,, cnv_snv_meth_mRNA_miRNA,24,72,298,82,3,0,0.01,0.1
cnv_snv_meth_mRNA_rppa,19729,128755,2404,1508,0,456,,cnv_snv_meth_mRNA_rppa,197,557,1431,945,0,369,,cnv_snv_meth_mRNA_rppa,42,94,462,188,0,87,0.01,0.1,,cnv_snv_meth_mRNA_rppa,25,56,276,124,0,47,0.01,0.1,, cnv_snv_meth_mRNA_rppa,21,65,277,77,0,38,0.01,0.1
cnv_snv_meth_miRNA_rppa,19729,128755,2404,0,27,456,,cnv_snv_meth_miRNA_rppa,197,670,1445,0,24,369,,cnv_snv_meth_miRNA_rppa,53,132,514,0,7,103,0.01,0.1,,cnv_snv_meth_miRNA_rppa,5,4,66,0,1,8,0.01,0.5,, cnv_snv_meth_miRNA_rppa,3,5,65,0,0,2,0.01,0.5
cnv_snv_mRNA_miRNA_rppa,19729,128755,0,1508,27,456,,cnv_snv_mRNA_miRNA_rppa,197,557,0,942,24,369,,cnv_snv_mRNA_miRNA_rppa,80,200,0,374,11,153,0.01,0.1,,cnv_snv_mRNA_miRNA_rppa,4,1,0,21,1,3,0.01,0.9,, cnv_snv_mRNA_miRNA_rppa,48,124,0,148,9,77,0.01,0.1
cnv_meth_mRNA_miRNA_rppa,19729,0,2404,1508,27,456,,cnv_meth_mRNA_miRNA_rppa,208,0,1431,942,24,369,,cnv_meth_mRNA_miRNA_rppa,48,0,470,221,3,94,0.01,0.1,,cnv_meth_mRNA_miRNA_rppa,26,0,274,135,2,49,0.01,0.1,, cnv_meth_mRNA_miRNA_rppa,21,0,299,90,2,45,0.01,0.1
snv_meth_mRNA_miRNA_rppa,0,128755,2404,1508,27,456,,snv_meth_mRNA_miRNA_rppa,0,555,1431,942,24,369,,snv_meth_mRNA_miRNA_rppa,0,107,480,204,4,95,0.01,0.1,,snv_meth_mRNA_miRNA_rppa,0,63,263,125,2,52,0.01,0.1,, snv_meth_mRNA_miRNA_rppa,0,72,278,81,4,44,0.01,0.1
cnv_snv_meth_mRNA_miRNA_rppa,19729,128755,2404,1508,27,456,,cnv_snv_meth_mRNA_miRNA_rppa,197,555,1431,942,24,369,,cnv_snv_meth_mRNA_miRNA_rppa,42,102,462,180,3,85,0.01,0.1,,cnv_snv_meth_mRNA_miRNA_rppa,25,57,272,122,2,49,0.01,0.1,, cnv_snv_meth_mRNA_miRNA_rppa,21,64,278,76,3,38,0.01,0.1
